time slot,edge_cpu,iot_cpu
939,0.57,0.57
940,0.36,0.6
941,0.32,0.59
942,0.28,0.57
943,0.26,0.55
944,0.29,0.61
945,0.53,0.65
946,0.5,0.46
947,0.7,0.45
948,0.75,0.18
949,0.77,0.76
950,0.28,0.45
951,0.06,0.42
952,0.09,0.46
953,0.24,0.9
954,0.35,0.53
955,0.36,0.54
956,0.34,0.56
957,0.33,0.58
958,0.34,0.93
959,0.37,0.93
960,0.34,0.8
961,0.36,0.52
962,0.43,0.24
963,0.47,0.23
964,0.44,0.11
965,0.39,0.13
966,0.08,0.11
967,0.01,0.1
968,0,0.1
969,0.01,0.1
970,0.02,0.1
971,0.01,0.1
972,0.01,0.1
973,0,0.1
974,0.01,0.1
975,0.02,0.1
976,0.02,0.1
977,0.01,0.1
978,0.01,0.11
979,0.03,0.22
980,0.1,0.84
981,0.03,0.78
982,0.26,0.79
983,0.33,0.56
984,0.43,0.44
985,0.45,0.52
986,0.18,0.48
987,0.21,0.55
988,0.4,0.49
989,0.18,0.81
990,0.07,0.82
991,0.13,0.46
992,0.28,0.71
993,0.31,0.44
994,0.4,0.58
995,0.52,0.58
996,0.5,0.85
997,0.49,0.11
998,0.45,0.1
999,0.54,0.11
1000,0.43,0.11
1001,0.38,0.22
1002,0.47,0.3
1003,0.52,0.11
1004,0.61,0.11
1005,0.55,0.1
1006,0.58,0.11
1007,0.18,0.1
1008,0.3,0.11
1009,0.29,0.1
1010,0.27,0.11
1011,0.32,0.1
1012,0.25,0.1
1013,0.08,0.1
1014,0.23,0.1
1015,0.21,0.1
1016,0.32,0.1
1017,0.44,0.1
1018,0.3,0.1
1019,0.13,0.1
1020,0.12,0.1
1021,0.11,0.36
1022,0.13,0.44
1023,0.14,0.45
1024,0.28,0.51
1025,0.66,0.88
1026,0.85,0.72
1027,0.86,0.94
1028,0.87,0.84
1029,0.6,0.81
1030,0.61,0.76
1031,0.83,0.83
1032,0.65,0.98
1033,0.86,0.66
1034,0.71,0.58
1035,0.99,0.64
1036,0.99,0.74
1037,0.99,0.41
1038,0.99,0.4
1039,0.99,0.47
1040,0.99,0.47
1041,0.53,0.51
1042,0.57,0.37
1043,0.57,0.28
1044,0.6,0.2
1045,0.58,0.73
1046,0.58,0.31
1047,0.6,0.31
1048,0.58,0.31
1049,0.59,0.28
1050,0.45,0.53
1051,0.47,0.8
1052,0.47,0.61
1053,0.47,0.45
1054,0.49,0.44
1055,0.48,0.88
1056,0.48,0.81
1057,0.57,0.52
1058,0.82,0.47
1059,0.82,0.28
1060,0.83,0.26
1061,0.82,0.15
1062,0.82,0.16
1063,0.44,0.22
1064,0.45,0.41
1065,0.43,0.78
1066,0.43,0.78
1067,0.35,0.78
1068,0.44,0.77
1069,0.43,0.63
1070,0.43,0.72
1071,0.42,0.71
1072,0.48,0.73
1073,0.56,0.5
1074,0.58,0.35
1075,0.56,0.46
1076,0.58,0.49
1077,0.47,0.44
1078,0.37,0.61
1079,0.38,0.41
1080,0.39,0.49
1081,0.38,0.15
1082,0.48,0.15
1083,0.37,0.15
1084,0.39,0.56
1085,0.37,0.34
1086,0.72,0.67
1087,0.99,0.67
1088,0.99,0.65
1089,0.98,0.67
1090,0.99,0.74
1091,0.57,0.68
1092,0.56,0.47
1093,0.61,0.14
1094,0.62,0.6
1095,0.6,0.52
1096,0.6,0.14
1097,0.59,0.13
1098,0.6,0.35
1099,0.36,0.27
1100,0.38,0.98
1101,0.59,0.93
1102,0.66,0.97
1103,0.56,0.87
1104,0.45,0.88
1105,0.43,0.89
1106,0.45,0.88
1107,0.42,0.89
1108,0.46,0.89
1109,0.67,0.66
1110,0.66,0.33
1111,0.66,0.26
1112,0.66,0.28
1113,0.66,0.27
1114,0.68,0.35
1115,0.67,0.29
1116,0.68,0.2
1117,0.67,0.22
1118,0.51,0.26
1119,0.35,0.43
1120,0.35,0.73
1121,0.34,0.74
1122,0.34,0.74
1123,0.36,0.78
1124,0.36,0.76
1125,0.37,0.73
1126,0.62,0.78
1127,0.63,0.75
1128,0.63,0.75
1129,0.63,0.5
1130,0.61,0.44
1131,0.62,0.56
1132,0.63,0.56
1133,0.59,0.44
1134,1,0.67
1135,0.98,0.53
1136,1,0.71
1137,1,0.46
1138,0.98,0.58
1139,0.64,0.48
1140,0.65,0.44
1141,0.66,0.44
1142,0.66,0.49
1143,0.67,0.34
1144,0.67,0.32
1145,0.65,0.3
1146,0.6,0.32
1147,0.59,0.26
1148,0.76,0.3
1149,0.93,0.29
1150,0.93,0.94
1151,0.87,0.62
1152,0.76,0.93
1153,0.32,0.62
1154,0.34,0.4
1155,0.31,0.27
1156,0.32,0.3
1157,0.32,0.29
1158,0.3,0.72
1159,0.37,0.52
1160,0.51,0.3
1161,0.51,0.28
1162,0.51,0.38
1163,0.53,0.3
1164,0.76,0.53
1165,0.84,0.76
1166,0.83,0.87
1167,0.83,0.35
1168,0.82,0.3
1169,0.83,0.2
1170,0.38,0.22
1171,0.39,0.13
1172,0.38,0.16
1173,0.41,0.3
1174,0.37,0.54
1175,0.33,0.23
1176,0.34,0.84
1177,0.33,0.24
1178,0.32,0.98
1179,0.33,0.64
1180,0.43,0.62
1181,0.84,0.78
1182,0.83,0.79
1183,0.83,0.64
1184,0.83,0.67
1185,0.85,0.61
1186,0.84,0.38
1187,0.84,0.36
1188,0.51,0.36
1189,0.58,0.41
1190,0.56,0.34
1191,0.57,0.34
1192,0.54,0.32
1193,0.57,0.37
1194,0.57,0.37
1195,0.52,0.24
1196,0.61,0.11
1197,0.64,0.17
1198,0.62,0.13
1199,0.63,0.27
1200,0.63,0.11
1201,0.63,0.12
1202,0.62,0.23
1203,0.25,0.24
1204,0.35,0.39
1205,0.34,0.83
1206,0.33,0.49
1207,0.32,0.45
1208,0.3,0.3
1209,0.34,0.75
1210,0.98,0.37
1211,0.99,0.31
1212,0.98,0.35
1213,0.98,0.38
1214,0.99,0.39
1215,0.98,0.38
1216,0.98,0.39
1217,0.98,0.29
1218,0.78,0.06
1219,0.47,0.05
1220,0.63,0.26
1221,0.63,0.14
1222,0.63,0.69
1223,0.64,0.38
1224,0.65,0.25
1225,0.64,0.19
1226,0.63,0.47
1227,0.64,0.74
1228,0.62,0.74
1229,0.62,0.75
1230,0.61,0.73
1231,0.6,0.73
1232,0.6,0.73
1233,0.6,0.19
1234,0.57,0.59
1235,0.53,0.18
1236,0.54,0.18
1237,0.52,0.18
1238,0.52,0.16
1239,0.52,0.13
1240,0.54,0.16
1241,0.54,0.16
1242,0.54,0.13
1243,0.53,0.26
1244,0.35,0.1
1245,0.38,0.14
1246,0.36,0.57
1247,0.37,0.54
1248,0.37,0.14
1249,0.36,0.14
1250,0.37,0.14
1251,0.37,0.17
1252,0.36,0.17
1253,0.62,0.19
1254,0.67,0.15
1255,0.66,0.3
1256,0.66,0.28
1257,0.65,0.38
1258,0.61,0.78
1259,0.36,0.33
1260,0.38,0.24
1261,0.38,0.26
1262,0.38,0.46
1263,0.38,0.39
1264,0.53,0.4
1265,0.59,0.21
1266,0.61,0.28
1267,0.59,0.17
1268,0.59,0.26
1269,0.58,0.25
1270,0.41,0.23
1271,0.6,0.17
1272,0.52,0.19
1273,0.34,0.56
1274,0.33,0.18
1275,0.33,0.55
1276,0.35,0.37
1277,0.34,0.56
1278,0.36,0.41
1279,0.77,0.86
1280,0.85,0.85
1281,0.85,0.48
1282,0.85,0.55
1283,0.85,0.56
1284,0.75,0.44
1285,0.84,0.49
